   ncalls,  tottime,  percall,  cumtime,  percall, filename:lineno(function)
     1872,    0.007,    0.000,    0.016,    0.000, <frozen importlib._bootstrap_external>:263(cache_from_source)
      995,    0.002,    0.000,    0.011,    0.000, <frozen importlib._bootstrap_external>:361(_get_cached)
      936,    0.001,    0.000,    0.001,    0.000, <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
     1592,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:41(_relax_case)
       16,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:413(_find_module_shim)
      936,    0.008,    0.000,    0.010,    0.000, <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      936,    0.002,    0.000,    0.096,    0.000, <frozen importlib._bootstrap_external>:485(_compile_bytecode)
     1872,    0.001,    0.000,    0.002,    0.000, <frozen importlib._bootstrap_external>:52(_r_long)
      997,    0.003,    0.000,    0.004,    0.000, <frozen importlib._bootstrap_external>:524(spec_from_file_location)
     9223,    0.008,    0.000,    0.021,    0.000, <frozen importlib._bootstrap_external>:57(_path_join)
     9223,    0.007,    0.000,    0.011,    0.000, <frozen importlib._bootstrap_external>:59(<listcomp>)
     1872,    0.002,    0.000,    0.003,    0.000, <frozen importlib._bootstrap_external>:63(_path_split)
      936,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:669(create_module)
   936/10,    0.003,    0.000,    1.299,    0.130, <frozen importlib._bootstrap_external>:672(exec_module)
      936,    0.006,    0.000,    0.163,    0.000, <frozen importlib._bootstrap_external>:743(get_code)
     4563,    0.002,    0.000,    0.020,    0.000, <frozen importlib._bootstrap_external>:75(_path_stat)
      938,    0.001,    0.000,    0.001,    0.000, <frozen importlib._bootstrap_external>:800(__init__)
      936,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:825(get_filename)
      936,    0.012,    0.000,    0.037,    0.000, <frozen importlib._bootstrap_external>:830(get_data)
      936,    0.001,    0.000,    0.004,    0.000, <frozen importlib._bootstrap_external>:840(path_stats)
     2035,    0.002,    0.000,    0.011,    0.000, <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
       59,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:908(__init__)
    59/57,    0.000,    0.000,    0.260,    0.005, <frozen importlib._bootstrap_external>:919(create_module)
    59/48,    0.000,    0.000,    0.020,    0.000, <frozen importlib._bootstrap_external>:927(exec_module)
     1815,    0.001,    0.000,    0.011,    0.000, <frozen importlib._bootstrap_external>:94(_path_isfile)
        4,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:960(__init__)
       41,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:966(_find_parent_path_names)
       41,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:976(_get_parent_path)
    37/15,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:980(_recalculate)
      220,    0.000,    0.000,    0.001,    0.000, <frozen importlib._bootstrap_external>:99(_path_isdir)
    24/14,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:993(__iter__)
    13/10,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:999(__len__)
        1,    0.000,    0.000,    0.000,    0.000, <string>:1(<module>)
        4,    0.000,    0.000,    0.000,    0.000, <string>:12(__new__)
        1,    0.000,    0.000,    0.000,    0.000, <string>:2(<module>)
        1,    0.000,    0.000,    0.000,    0.000, <string>:2(AsyncContextManager)
        1,    0.000,    0.000,    0.000,    0.000, <string>:31(__repr__)
        1,    0.000,    0.000,    0.000,    0.000, <string>:4(cy_wrap)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(ASMoutput)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(ArgInfo)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(ArgSpec)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(Arguments)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(Attribute)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(Axes)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(Bits)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(CityscapesClass)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(ClosureVars)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(Contexts)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(DecimalTuple)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(DefaultVerifyPaths)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(DefragResult)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(DoneAndNotDoneFutures)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(FrameInfo)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(FullArgSpec)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(GLFWgamepadstate)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(GLFWgammaramp)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(GLFWimage)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(GLFWvidmode)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(GoogLeNetOutputs)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(InceptionOutputs)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(IncompatibleKeys)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(Kernel)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(Match)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(Mismatch)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(NamedIndexStructs)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(PackedSequence)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(ParseResult)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(Pose)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(PythonUDF)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(QConfig)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(QConfigDynamic)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(RemoteException)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(ScriptMethodStub)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(Selected)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(SelectorKey)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(Size)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(SplitResult)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(StatData)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(TimeStep)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(TokenInfo)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(Traceback)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(_ASN1Object)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(_Instruction)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(_IterableDatasetStopIteration)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(_LoggingWatcher)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(_ModuleObjectAndName)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(_TagInfo)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(_Version)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(interface)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(manifest_mod)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtBias)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtButton)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtCamLight)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtCamera)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtCatBit)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtCollision)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtCone)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtConstraint)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtConstraintState)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtDataType)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtDisableBit)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtDyn)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtEnableBit)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtEq)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtEvent)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtFont)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtFontScale)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtFrame)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtFramebuffer)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtGain)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtGeom)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtGridPos)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtIntegrator)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtJacobian)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtJoint)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtLRMode)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtLabel)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtMouse)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtObj)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtPertBit)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtRndFlag)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtSensor)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtSolver)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtStage)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtStereo)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtTexture)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtTimer)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtTrn)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtVisFlag)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtWarning)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(mjtWrap)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(uname_result)
        1,    0.000,    0.000,    0.000,    0.000, <string>:5(usage)
        1,    0.000,    0.000,    0.000,    0.000, AugMix.py:15(<module>)
        1,    0.000,    0.000,    0.000,    0.000, AugMixAugmentations.py:15(<module>)
        1,    0.000,    0.000,    0.001,    0.001, EGL_1_0.py:1(<module>)
       24,    0.000,    0.000,    0.001,    0.000, EGL_1_0.py:12(_f)
        1,    0.000,    0.000,    0.008,    0.008, EGL_1_0.py:9(<module>)
        1,    0.000,    0.000,    0.000,    0.000, EGL_1_1.py:1(<module>)
        4,    0.000,    0.000,    0.000,    0.000, EGL_1_1.py:12(_f)
        1,    0.000,    0.000,    0.000,    0.000, EGL_1_1.py:9(<module>)
        1,    0.000,    0.000,    0.000,    0.000, EGL_1_2.py:1(<module>)
        5,    0.000,    0.000,    0.000,    0.000, EGL_1_2.py:12(_f)
        1,    0.000,    0.000,    0.001,    0.001, EGL_1_2.py:9(<module>)
        1,    0.000,    0.000,    0.000,    0.000, EGL_1_3.py:1(<module>)
        1,    0.000,    0.000,    0.000,    0.000, EGL_1_3.py:9(<module>)
        1,    0.000,    0.000,    0.000,    0.000, EGL_1_4.py:1(<module>)
        1,    0.000,    0.000,    0.000,    0.000, EGL_1_4.py:12(_f)
        1,    0.000,    0.000,    0.000,    0.000, EGL_1_4.py:9(<module>)
        1,    0.000,    0.000,    0.001,    0.001, EGL_1_5.py:1(<module>)
       10,    0.000,    0.000,    0.000,    0.000, EGL_1_5.py:12(_f)
        1,    0.000,    0.000,    0.003,    0.003, EGL_1_5.py:9(<module>)
        1,    0.000,    0.000,    0.000,    0.000, ElementPath.py:246(_SelectorContext)
        1,    0.000,    0.000,    0.001,    0.001, ElementPath.py:59(<module>)
        1,    0.000,    0.000,    0.000,    0.000, ElementTree.py:104(ParseError)
        1,    0.000,    0.000,    0.000,    0.000, ElementTree.py:1138(_ListDataStream)
        1,    0.000,    0.000,    0.000,    0.000, ElementTree.py:123(Element)
        1,    0.000,    0.000,    0.000,    0.000, ElementTree.py:1248(XMLPullParser)
        1,    0.000,    0.000,    0.000,    0.000, ElementTree.py:1360(TreeBuilder)
        1,    0.000,    0.000,    0.000,    0.000, ElementTree.py:1435(XMLParser)
        1,    0.000,    0.000,    0.002,    0.002, ElementTree.py:34(<module>)
        1,    0.000,    0.000,    0.000,    0.000, ElementTree.py:494(QName)
        1,    0.000,    0.000,    0.000,    0.000, ElementTree.py:542(ElementTree)
        1,    0.002,    0.002,    0.018,    0.018, GL_1_0.py:1(<module>)
      306,    0.000,    0.000,    0.011,    0.000, GL_1_0.py:12(_f)
        1,    0.000,    0.000,    0.023,    0.023, GL_1_1.py:1(<module>)
       30,    0.000,    0.000,    0.001,    0.000, GL_1_1.py:13(_f)
        1,    0.000,    0.000,    0.000,    0.000, Image.py:2428(ImagePointHandler)
        1,    0.000,    0.000,    0.000,    0.000, Image.py:2433(ImageTransformHandler)
        1,    0.000,    0.000,    0.005,    0.005, Image.py:27(<module>)
        1,    0.000,    0.000,    0.000,    0.000, Image.py:3099(_apply_env_variables)
        1,    0.000,    0.000,    0.000,    0.000, Image.py:3135(Exif)
        1,    0.000,    0.000,    0.000,    0.000, Image.py:490(_E)
        1,    0.000,    0.000,    0.000,    0.000, Image.py:531(Image)
        1,    0.000,    0.000,    0.000,    0.000, Image.py:66(DecompressionBombWarning)
